Cluster,Year,Sales of Single-Family Homes,Price of Single-Family Homes (2016 $),Food stamp recipients
N39,1998,131,"111,000",N/A
N39,1999,128,"128,000",N/A
N39,2000,126,"135,000","10,858"
N39,2001,97,"145,000","10,081"
N39,2002,92,"164,000","10,413"
N39,2003,102,"173,000","11,126"
N39,2004,151,"195,000","11,392"
N39,2005,127,"240,000","11,020"
N39,2006,154,"306,000","10,882"
N39,2007,90,"321,000","10,958"
N39,2008,57,"288,000","11,988"
N39,2009,33,"236,000","14,159"
N39,2010,50,"235,000","16,217"
N39,2011,46,"205,000","17,929"
N39,2012,29,"190,000","18,932"
N39,2013,45,"189,000","19,682"
N39,2014,49,"251,000","19,872"
N39,2015,81,"280,000","19,972"
N39,2016,73,"284,000","19,113"
